83	30.45	31.02	29.90	28.36	34.57	34.04	32.22	25.60
84	30.41	31.20	29.90	28.36	34.50	34.50	32.11	25.66
85	30.37	31.53	29.96	28.36	34.51	35.12	32.03	25.71
86	30.36	32.00	30.08	28.38	34.61	35.80	31.99	25.77
87	30.38	32.52	30.26	28.40	34.79	36.52	31.99	25.82
88	30.43	33.09	30.46	28.42	35.03	37.20	32.04	25.87
89	30.51	33.68	30.71	28.46	35.32	37.86	32.13	25.93
90	30.62	34.27	30.97	28.51	35.64	38.49	32.26	25.97
91	30.76	34.85	31.25	28.56	35.98	39.08	32.43	26.02
92	30.92	35.41	31.53	28.64	36.34	39.63	32.61	26.06
93	31.10	35.94	31.83	28.73	36.72	40.15	32.84	26.11
94	31.29	36.46	32.12	28.82	37.10	40.64	33.09	26.16
95	31.49	36.96	32.41	28.93	37.48	41.10	33.36	26.21
96	31.71	37.43	32.71	29.03	37.87	41.55	33.63	26.25
97	31.94	37.90	32.99	29.16	38.26	41.97	33.93	26.29
98	32.17	38.33	33.28	29.29	38.64	42.38	34.23	26.33
99	32.41	38.76	33.55	29.43	39.03	42.77	34.55	26.38
100	32.65	39.16	33.82	29.55	39.42	43.15	34.87	26.42
101	32.90	39.55	34.09	29.70	39.79	43.51	35.20	26.47
102	33.14	39.92	34.35	29.83	40.16	43.84	35.53	26.51
103	33.39	40.18	34.58	29.98	40.52	43.98	35.85	26.55
104	33.63	40.29	34.77	30.13	40.84	43.88	36.16	26.60
105	33.87	40.22	34.89	30.28	41.10	43.61	36.46	26.65
106	34.09	40.03	34.95	30.42	41.27	43.25	36.72	26.70
107	34.28	39.75	34.95	30.56	41.38	42.85	36.94	26.75
108	34.44	39.42	34.91	30.68	41.42	42.43	37.12	26.81
109	34.57	39.06	34.85	30.80	41.41	42.01	37.24	26.86
110	34.66	38.69	34.76	30.90	41.36	41.62	37.32	26.92
111	34.73	38.32	34.66	30.99	41.28	41.25	37.36	26.97
112	34.78	37.97	34.54	31.07	41.17	40.91	37.36	27.03
113	34.81	37.62	34.42	31.13	41.05	40.59	37.34	27.09
114	34.82	37.30	34.29	31.19	40.91	40.29	37.29	27.16
115	34.81	36.99	34.17	31.23	40.76	40.02	37.22	27.21
116	34.80	36.70	34.05	31.27	40.61	39.77	37.13	27.28
117	34.77	36.44	33.93	31.30	40.44	39.53	37.02	27.35
118	34.74	36.19	33.82	31.32	40.28	39.32	36.89	27.41
119	34.70	35.96	33.71	31.34	40.12	39.11	36.77	27.47
120	34.65	35.75	33.60	31.34	39.96	38.92	36.63	27.54
121	34.60	35.55	33.50	31.36	39.79	38.74	36.49	27.60
122	34.55	35.36	33.41	31.36	39.63	38.58	36.34	27.67
123	34.49	35.28	33.33	31.36	39.47	38.64	36.20	27.73
124	34.44	35.38	33.30	31.36	39.36	39.00	36.07	27.78
125	34.39	35.65	33.33	31.36	39.31	39.55	35.95	27.85
126	34.37	36.06	33.42	31.36	39.37	40.20	35.87	27.90
127	34.36	36.55	33.57	31.37	39.50	40.88	35.85	27.96
128	34.40	37.09	33.77	31.39	39.70	41.55	35.86	28.01
129	34.46	37.66	33.99	31.42	39.95	42.20	35.92	28.06
130	34.55	38.23	34.24	31.46	40.23	42.81	36.03	28.12
131	34.68	38.79	34.51	31.51	40.55	43.38	36.17	28.17
132	34.82	39.35	34.78	31.58	40.88	43.93	36.34	28.22
133	34.98	39.87	35.06	31.66	41.22	44.43	36.54	28.26
134	35.17	40.38	35.35	31.74	41.58	44.92	36.76	28.31
135	35.36	40.87	35.64	31.84	41.94	45.37	37.01	28.35
136	35.56	41.34	35.92	31.94	42.31	45.80	37.27	28.40
137	35.78	41.79	36.21	32.05	42.67	46.21	37.55	28.44
138	35.99	42.22	36.48	32.17	43.04	46.60	37.83	28.48
139	36.22	42.63	36.76	32.31	43.40	46.98	38.13	28.53
140	36.45	43.03	37.02	32.43	43.77	47.34	38.43	28.58
141	36.68	43.41	37.28	32.57	44.12	47.69	38.74	28.62
142	36.91	43.77	37.54	32.70	44.48	48.02	39.06	28.67
143	37.15	44.08	37.78	32.84	44.82	48.24	39.37	28.72
144	37.38	44.23	37.98	32.99	45.15	48.21	39.68	28.76
145	37.61	44.22	38.12	33.12	45.41	47.99	39.97	28.81
146	37.83	44.07	38.20	33.27	45.60	47.66	40.23	28.86
147	38.02	43.81	38.22	33.40	45.71	47.25	40.46	28.91
148	38.18	43.49	38.19	33.53	45.76	46.82	40.63	28.97
149	38.32	43.14	38.13	33.64	45.76	46.39	40.76	29.01
150	38.41	42.77	38.04	33.74	45.71	45.97	40.84	29.07
151	38.49	42.39	37.94	33.83	45.62	45.58	40.89	29.13
152	38.53	42.02	37.81	33.91	45.50	45.21	40.89	29.19
153	38.56	41.67	37.69	33.97	45.37	44.86	40.86	29.25
154	38.57	41.33	37.55	34.02	45.22	44.54	40.81	29.31
155	38.56	41.00	37.41	34.07	45.06	44.24	40.73	29.38
156	38.53	40.70	37.29	34.10	44.89	43.97	40.63	29.43
157	38.50	40.42	37.16	34.13	44.71	43.70	40.51	29.50
158	38.46	40.16	37.03	34.15	44.54	43.47	40.39	29.57
159	38.42	39.92	36.92	34.16	44.36	43.25	40.25	29.62
160	38.37	39.68	36.79	34.17	44.18	43.03	40.10	29.69
161	38.31	39.47	36.68	34.18	44.00	42.83	39.95	29.75
162	38.25	39.27	36.58	34.18	43.82	42.65	39.79	29.81
163	38.19	39.16	36.49	34.17	43.64	42.68	39.64	29.88
164	38.13	39.23	36.45	34.17	43.51	43.02	39.48	29.94
165	38.07	39.49	36.47	34.16	43.45	43.54	39.36	29.99
166	38.03	39.86	36.55	34.16	43.48	44.16	39.27	30.05
167	38.02	40.33	36.68	34.16	43.58	44.81	39.23	30.11
168	38.04	40.86	36.86	34.17	43.76	45.46	39.24	30.16
